city,snapshot_at,hex_id,neighborhood,event_category,event_id,event_name,location,start_date,end_date
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,708311,Shooting Permit,,,2023-04-21T02:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,751441,Shooting Permit,,,2023-12-01T02:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Bronx,Shooting Permit,765792,Shooting Permit,,,2024-03-06T22:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,736157,Shooting Permit,,,2023-08-21T23:59:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,881036,Shooting Permit,,,2025-08-13T02:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,713316,Shooting Permit,,,2023-05-06T03:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Brooklyn,Shooting Permit,841073,Shooting Permit,,,2025-03-14T22:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,804355,Shooting Permit,,,2024-08-16T04:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,725231,Shooting Permit,,,2023-06-23T03:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,689589,Shooting Permit,,,2023-01-13T23:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Queens,Shooting Permit,774198,Shooting Permit,,,2024-04-20T02:00:00.000
nyc,2026-05-25T11:02:20.017829+00:00,,Manhattan,Shooting Permit,893119,Shooting Permit,,,2025-10-04T23:59:00.000
